Name,ID
Michael Diamond,"['ur.01136423534.46', 'ur.014030665166.04', 'ur.0577215761.39', 'ur.016600130776.04', 'ur.016376441131.71', 'ur.0757052535.15', 'ur.014330436266.94', 'ur.01173241756.39', 'ur.010364474312.40', 'ur.014055147346.03', 'ur.077547425.48', 'ur.0750536371.55', 'ur.0673016274.66', 'ur.014421054225.00', 'ur.012054453665.34', 'ur.0615673773.52', 'ur.011536475137.53', 'ur.015657706535.24', 'ur.012737135146.17', 'ur.011070231146.64', 'ur.011561555217.42', 'ur.01333453213.97', 'ur.0105306005.24', 'ur.010655367356.92', 'ur.016626166225.44', 'ur.011451166476.53', 'ur.07403300604.15', 'ur.01341376405.43']"
Jay Edelberg,"['ur.015502525001.77', 'ur.01106223624.20', 'ur.0624415064.56']"
David Engman,['ur.01112672004.80']
Daniel Fowler,"['ur.01114035145.20', 'ur.0774373361.72', 'ur.011044152016.05', 'ur.010650012612.10', 'ur.01052730267.32', 'ur.013164520167.49', 'ur.0721423672.14', 'ur.012522776035.37', 'ur.01233454166.54', 'ur.011017326365.24', 'ur.010612303054.62', 'ur.01270253026.60', 'ur.012571370425.14', 'ur.010610164665.36', 'ur.0647764171.48']"
Vance Fowler,"['ur.01020555670.21', 'ur.016221403674.51', 'ur.011715650574.50', 'ur.014412124603.30', 'ur.01220372166.05', 'ur.012100770252.57']"
John Frangioni,['ur.01153672301.91']
Bin Gao,"['ur.011454411420.05', 'ur.014764252627.00', 'ur.014625725442.30', 'ur.014434532737.07', 'ur.016055125345.78', 'ur.015477075443.37', 'ur.07605037425.90', 'ur.010702617265.95', 'ur.012002012111.57', 'ur.014626236440.29', 'ur.010634733107.01', 'ur.013660520772.05', 'ur.011120107224.31', 'ur.016245366632.66', 'ur.013474430345.55', 'ur.016634063576.00', 'ur.016710100201.19', 'ur.011375742445.25', 'ur.012433014533.24', 'ur.016707161707.10', 'ur.013537264672.85', 'ur.07413553051.55', 'ur.07567131035.37', 'ur.012146422531.78', 'ur.011157015275.27', 'ur.014221061223.37', 'ur.013477775470.00', 'ur.016713714411.20', 'ur.013446042427.97', 'ur.015266537263.74', 'ur.0746214143.44', 'ur.016367332736.69', 'ur.015364651753.57', 'ur.011713723213.63', 'ur.011024715677.75', 'ur.015037413002.22', 'ur.016320454761.06', 'ur.010130443176.85', 'ur.011007261170.09', 'ur.012720160575.21', 'ur.014155757467.13', 'ur.016453352602.55', 'ur.015050525663.14', 'ur.011356261304.55', 'ur.015706547017.61', 'ur.010667205370.45', 'ur.013123523027.75', 'ur.014175556721.81', 'ur.014022123372.16', 'ur.011504302573.40', 'ur.013653465573.36', 'ur.011254013524.29', 'ur.011071003130.92', 'ur.01354246175.95', 'ur.014553461066.50', 'ur.014241312355.41', 'ur.012323611527.43', 'ur.010706723776.30', 'ur.015571114224.32', 'ur.010016411766.27', 'ur.011150421275.68', 'ur.012211320013.45', 'ur.0607735446.44', 'ur.012226546072.06', 'ur.012045770043.07', 'ur.07550461473.29', 'ur.011376334521.10', 'ur.016067223601.15', 'ur.014262450112.89', 'ur.010267333142.04', 'ur.07625515477.48', 'ur.07762626270.02', 'ur.07400604630.75', 'ur.012365544226.75', 'ur.015734346521.94', 'ur.016465677470.29', 'ur.010331705541.11', 'ur.0753455616.49', 'ur.013455171275.14', 'ur.010517156620.94', 'ur.015250104661.05', 'ur.011672577345.51', 'ur.012055767774.02', 'ur.016342524141.36', 'ur.016002602172.76', 'ur.0617707007.16', 'ur.011402424751.11', 'ur.011650173033.61', 'ur.015707461723.05', 'ur.010071641125.18', 'ur.011712724410.46', 'ur.016021232030.55', 'ur.01162314771.15', 'ur.011433646175.20', 'ur.015704202420.12', 'ur.013766174073.29', 'ur.015622215307.15', 'ur.01250074357.86', 'ur.015434713457.86', 'ur.014330436216.56', 'ur.016067224673.34', 'ur.014636141546.42', 'ur.011631203145.37', 'ur.016624231574.92', 'ur.016516737127.50', 'ur.013016202202.59', 'ur.016266572262.61', 'ur.013170624545.50', 'ur.015620101572.11', 'ur.0654057524.22', 'ur.010467267275.46', 'ur.015071737527.88', 'ur.013346550054.47', 'ur.010561130033.88', 'ur.010732200163.19', 'ur.010072627543.81', 'ur.015407570325.63', 'ur.014746037777.48', 'ur.01053712344.25', 'ur.011071355430.99', 'ur.016510157060.77', 'ur.010354662341.01', 'ur.01270115656.26', 'ur.014015452167.43', 'ur.013130305561.08', 'ur.012474516324.55', 'ur.01205652141.39', 'ur.015077376653.87', 'ur.011747334455.36', 'ur.011620261746.14', 'ur.011543146465.70', 'ur.01330747157.77', 'ur.015040065272.50', 'ur.010744715131.85', 'ur.01163120061.57', 'ur.015562265414.20', 'ur.015670317070.36', 'ur.010620230210.09', 'ur.016061620114.41', 'ur.0665061552.42', 'ur.012353434135.26', 'ur.013702041621.05', 'ur.012320174361.52', 'ur.014656066275.21', 'ur.015471430761.78', 'ur.016010040635.89', 'ur.015072736470.53', 'ur.011416675763.13', 'ur.010455273540.55', 'ur.07674502750.55', 'ur.01212542615.03', 'ur.015312312130.53', 'ur.015444237227.46', 'ur.014520545723.28', 'ur.016133362636.53', 'ur.012233751101.99', 'ur.011677035113.33', 'ur.016374760075.04']"
Michael Glickman,"['ur.011344777464.45', 'ur.010350465407.11', 'ur.016455107664.87', 'ur.016673406555.17', 'ur.012537355042.53', 'ur.016077156132.77', 'ur.015211245526.93', 'ur.013603053753.15', 'ur.0743712621.98', 'ur.013057411367.40', 'ur.01231560230.01', 'ur.012304761520.28', 'ur.0631562111.32', 'ur.016670701422.41', 'ur.010121475076.65', 'ur.013371643217.04']"
Stephen Hammes,"['ur.01103105526.02', 'ur.0600326132.07', 'ur.01254375106.88']"
Hal Hoffman,"['ur.012246267543.95', 'ur.014142222157.12', 'ur.013632666467.15', 'ur.011653165057.09', 'ur.010321741667.39', 'ur.011675401655.08', 'ur.011545457044.21']"
Sam Hwang,"['ur.014640640324.27', 'ur.014065356747.41', 'ur.013535212124.08', 'ur.01200411344.28', 'ur.07400625241.93', 'ur.0650742344.37', 'ur.012110131773.37', 'ur.011716757277.24', 'ur.011731731312.68', 'ur.0742341554.83', 'ur.015150117150.71', 'ur.014311552765.84']"
S. Karumanchi,"['ur.01124076707.96', 'ur.01171471714.18', 'ur.011436267064.66', 'ur.07745510763.91', 'ur.013627070315.58', 'ur.010004102075.46', 'ur.015274326533.56', 'ur.015155257350.53', 'ur.013015156217.31', 'ur.01260534654.47', 'ur.01111744454.56', 'ur.010221512115.89', 'ur.013147731315.25', 'ur.013241763515.96', 'ur.012511551065.85']"
Douglas Kerr,"['ur.013514375312.58', 'ur.01102704544.51', 'ur.011105214004.65', 'ur.010352732731.57', 'ur.0100071542.46', 'ur.01221400572.51', 'ur.077363634.10', 'ur.016467031152.25', 'ur.016525625152.45', 'ur.01353606523.38', 'ur.0111160164.84', 'ur.011007347372.81', 'ur.013526316363.21', 'ur.01146646410.31', 'ur.07540677352.26', 'ur.01143007004.05', 'ur.010621260634.74', 'ur.0621371423.28']"
Tejvir Khurana,"['ur.010544226542.13', 'ur.014505252207.17']"
Fadlo Khuri,['ur.01057764272.14']
